Branch_Name,Region,Account_Balance,Branch_ID,Credit_Amount,Credit_Score,Interest_Rate,Loan_Term_Months,Region_Code,active_clients_district,branch_count,clients_in_district_rows,district_population,need_for_bank_service
Andijon,Andijon viloyati - Andijon,53729540.071428575,581.0,206285646.64285713,535.8571428571429,17.522142857142857,42.0,8.642857142857142,11208.285714285714,2.142857142857143,193.21428571428572,176940.7142857143,0.9182857142857143
Andijon,Andijon viloyati - Asaka,37975661.86666667,659.2666666666667,240150788.46666667,600.4666666666667,17.520666666666667,30.4,7.133333333333334,9421.8,2.2,217.46666666666667,167202.46666666667,0.9299333333333333
Andijon,Andijon viloyati - Shahrixon,48561425.05263158,544.2105263157895,249920761.0526316,592.9473684210526,17.507368421052632,44.21052631578947,7.0,17360.736842105263,2.8421052631578947,191.05263157894737,232113.73684210525,0.9229999999999999
Andijon,Buxoro viloyati - Buxoro,41986671.722222224,632.6111111111111,247836657.44444445,646.0,18.59722222222222,41.333333333333336,8.11111111111111,8531.611111111111,2.0555555555555554,207.94444444444446,155981.11111111112,0.934
Andijon,Buxoro viloyati - G‘ijduvon,50229935.666666664,478.1111111111111,256765777.2962963,603.4814814814815,18.37666666666667,43.55555555555556,7.888888888888889,11399.74074074074,2.111111111111111,192.1851851851852,168895.62962962964,0.9267037037037037
Andijon,Buxoro viloyati - Kogon,49257092.578947365,568.7894736842105,234571138.36842105,541.1578947368421,20.066315789473684,41.68421052631579,7.894736842105263,19047.315789473683,2.6315789473684212,186.0,233957.84210526315,0.9250526315789473
Andijon,Farg‘ona viloyati - Farg‘ona,47787639.384615384,419.61538461538464,317581393.61538464,637.6923076923077,15.94923076923077,53.53846153846154,7.769230769230769,10134.923076923076,2.0,238.46153846153845,146637.07692307694,0.9295384615384615
Andijon,Farg‘ona viloyati - Marg‘ilon,46378962.625,551.125,227045701.25,635.9375,16.81625,35.25,8.5,9910.5625,2.25,201.375,181797.6875,0.9345
Andijon,Farg‘ona viloyati - Qo‘qon,49837050.44444445,643.0,213028818.55555555,593.8888888888889,18.228333333333335,50.666666666666664,9.38888888888889,10260.222222222223,2.2777777777777777,211.88888888888889,156629.61111111112,0.9277222222222223
Andijon,Jizzax viloyati - Do‘stlik,49949796.416666664,480.25,248017689.91666666,688.75,16.1375,38.0,7.5,15187.083333333334,2.0833333333333335,162.25,168655.41666666666,0.9150833333333334
Andijon,Jizzax viloyati - G‘allaorol,42566028.166666664,502.375,239644898.79166666,607.625,18.172083333333333,37.0,8.5,15325.541666666666,2.2916666666666665,190.45833333333334,181149.16666666666,0.9174583333333333
Andijon,Jizzax viloyati - Jizzax,44269259.13333333,445.8666666666667,279861535.53333336,549.2,18.4,45.6,10.0,10975.933333333332,1.8,197.0,137767.73333333334,0.9253333333333332
Andijon,Namangan viloyati - Chortoq,40702354.708333336,477.625,251053262.66666666,551.1666666666666,16.952083333333334,42.5,7.125,17071.125,2.9166666666666665,196.875,226669.0,0.9238749999999999
Andijon,Namangan viloyati - Namangan,52364903.35714286,560.9285714285714,279856435.28571427,574.6428571428571,16.72714285714286,44.57142857142857,6.714285714285714,6380.857142857143,1.5,214.42857142857142,115010.07142857143,0.9367857142857143
Andijon,Namangan viloyati - Pop,56920924.384615384,553.0,315744875.6923077,574.7692307692307,17.71153846153846,41.53846153846154,7.384615384615385,14655.538461538461,2.4615384615384617,194.30769230769232,202802.46153846153,0.9184615384615384
Andijon,Navoiy viloyati - Navoiy,35962634.461538464,547.7692307692307,210703315.53846154,525.0,18.523076923076925,39.69230769230769,7.384615384615385,5650.7692307692305,1.5384615384615385,213.76923076923077,100698.30769230769,0.9365384615384614
Andijon,Navoiy viloyati - Qiziltepa,48852643.473684214,556.4736842105264,315320053.5263158,547.578947368421,18.52263157894737,39.1578947368421,6.7894736842105265,12602.894736842105,2.473684210526316,191.6315789473684,194208.7894736842,0.9255263157894738
Andijon,Navoiy viloyati - Zarafshon,40189466.526315786,500.0,244824577.63157895,569.7894736842105,16.547894736842103,39.1578947368421,7.7894736842105265,9273.157894736842,2.5789473684210527,233.10526315789474,208104.52631578947,0.9457368421052632
